Group	descriptor	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	Frequency
sensory	gentle	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	17
sensory	gentle	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	14
sensory	gentle	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	20
sensory	gentle	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	26
sensory	pat	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	28
sensory	pat	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	23
sensory	pat	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	26
sensory	pat	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	26
sensory	pat	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	26
sensory	pat	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	32
sensory	poke	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	44
sensory	poke	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	20
sensory	poke	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	30
sensory	poke	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	19
sensory	poke	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	28
sensory	poke	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	14
sensory	press	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	28
sensory	press	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	17
sensory	press	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	16
sensory	press	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	14
sensory	press	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	20
sensory	press	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	22
sensory	rub	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	27
sensory	rub	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	24
sensory	rub	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	60
sensory	rub	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	37
sensory	rub	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	48
sensory	rub	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	11
sensory	rub	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	30
sensory	rub	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	48
sensory	rub	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	53
sensory	rub	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	70
sensory	smooth	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	23
sensory	soft	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	32
sensory	soft	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	18
sensory	soft	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	18
sensory	soft	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	40
sensory	soft	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	19
sensory	soft	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	29
sensory	soft	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	17
sensory	soft	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	33
sensory	soft	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	22
sensory	soft	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	27
sensory	soft	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	15
sensory	soft	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	24
sensory	soft	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	35
sensory	soft	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	24
sensory	soft	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	33
sensory	soft	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	18
sensory	soft	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	26
sensory	stroke	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	20
sensory	stroke	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	21
sensory	tap	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	51
sensory	tap	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	20
sensory	tap	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	31
sensory	tap	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	25
sensory	tap	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	52
sensory	tap	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	31
sensory	tap	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	26
sensory	tap	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	27
sensory	tap	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	47
sensory	tap	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	25
sensory	warm	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	35
sensory	warm	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	21
sensory	warm	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	20
sensory	warm	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	38
sensory	warm	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	14
sensory	warm	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	28
sensory	warm	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	50
sensory	warm	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	40
sensory	warm	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	25
sensory	warm	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	34
